,,,,
eren,-,에렌,이걸로 끝이군.,
,,,,
alchemist,-,연금술사,믿을 수 없다...... 우리의 희망이......,
wise,-,현자,연금술의 미래가......!,
reina,-,레이나,정신 못 차리는 사이에 빠져나가죠!,
sisterna,-,시스터나,알았어요!,
reina,-,레이나,"앗, 잠깐! 영! 어디 가는 거예요!",
yeong,-,영,"이게 완성되는 걸 막아야 한다면, 당장 결과물을 없애는 것만으로는 부족합니다. 더 확실한 방법이 있죠. ",
blank,-,-,그 말을 남긴 채 모습이 사라지는가 싶더니 '현자'라 불린 인무르이 등 뒤에서 나타났다. 그의 목에는 긴 칼날이 닿아 있었다.,
yeong,-,영,당신이 이 일의 총책임자인가?,
flamel,-,플라멜,......,
alchemist,-,연금술사,아아앗! 플라멜 님이 위험하다!,
yeong,-,영,마지막으로 당신만 없애면 한동안으 걱정 없겠지.,
luvericha,-,루베리카,(놀람)(저 눈빛은......!),
blank,-,-,1년 전 죽을 뻔한 적이 있었다. 그것도 사랑하는 사람의 손에.,
blank,-,-,결국 그 날 벌어졌던 형제간의 대결이라는 비극은 루시안 하스켈의 죽음으로 끝나고 말았다.,
,,,,
lucian,-,루시안,"그렇군, 너는 내 것이 아니었다는 말인가...... 그렇다면 더 이상 존재할 가치가 없어.",
,,,,
blank,-,-,"그날 무표정한 얼굴로 자신의 존재를 부정했던, 망설임 없이 생명을 끊을 수 있는 눈이었다.",
luvericha,-,루베리카,(위협)......!,
blank,-,-,"영이 따끔한 듯 손을 뒤로 빼는 것과 동시에 들고 있던 검은 공중으로 튕겨져 올랐다. 그녀는 잠시 당황한 눈치였으나, 자신이 붙잡고 있던 현자를 밀어버린 후 뛰어가면서 반대쪽 소능로 검을 받아들고 일행이 있는 곳으로 돌아왔다.",
reina,-,레이나,(당황)괜찮아요?,
yeong,-,영,(찡그림)지금 대체 무슨 짓을......!,
eren,-,에렌,,
