Script#21
*	BG	MeetingRoom
*	BGM	Script_Normal
blank	-	-	<color=yellow>제국력 518년 1월 30일, 유니티 제국 황궁, 집행관 회의</color>
blank	-	-	제국군과 합동 훈련. 반역자들의 무위는 일반 병력으로 대응할 수 없다는 이유로 모나폴리 중앙지구를 순찰. 그리고 일과가 끝난 후 저녁에는 임무를 전달하고 계획을 세우기 위한 집행관 회의가 있었다.
blank	-	-	반역자들이 도망친 이후 세피아 로젠힐트의 생활은 꽤나 힘들어졌지만, 이런 과로는 그에게 있어 오히려 반가운 일이었다.
sepia	-	세피아	(후…… 오히려 딴생각을 할 틈도 없으니까 살아 있다는 사실을 실감하게 되지.)
noel	-	노엘	반역자들이 쓰던 암호를 해독하는 작업이 끝났다는 연락이 왔다.
grenev	-	그레네브	오, 아론인지 뭔지가 실토한 정보가 진짜였군요.^하긴 그 상황에서 금세 들통날 거짓말을 할 이유야 없었지만.
blank	-	-	닷새 전, 반역자들에게서 압수한 목걸이가 갑자기 빛나는 사건이 일어났다. 자기들끼리 사용하는 통신기 기능까지 겸하고 있었던 것이다.
blank	-	-	그러나 보통 사용하는 신호 규칙에 맞지 않아 뜻을 알 수 없던 상황에서, 그레네브가 포로 중 하나인 아론 핀토스로부터 해독법을 알아낸 것이다.
bianca	-	비앙카	오오~! 역시 제국의 두뇌, 아스터 정보부! 대단하군요!
darkenir	-	달케니르	아니, 전체 신호를 기록한 상태에서 해독 규칙이 있으면 내용을 알아내는 건 일일이 대조하는 단순한 반복 작업이라고 생각한다만.
bianca	-	비앙카	시끄러. 아무튼 노엘 님, 내용은 뭔가요?!
noel	-	노엘	다시 접선하자는 요청, 그리고 약속 장소와 시간이더군.
noel	-	노엘	이틀 후, 안톤의 텔루르 산. 자세한 위치 좌표는 지도로 제공할 거다.
arcadia	-	아르카디아	모나폴리 바깥, 게다가 산지라면…… 오늘이 거의 끝났다는 점을 감안하면 꽤나 빠듯하군요.
blank	-	-	사실 꽤나 빠듯하다는 표현도 상황에 비하면 부드러운 편이다. 불가능하다고 해도 그 자리에서 반박하기는 쉽지 않았다.
noel	-	노엘	이 자리에서 세 명을 골라 바로 출발한다. 최대한 발이 빠른 말에 경량화 마법진까지 사용한다면 불가능하지는 않아.
sepia	-	세피아	세 명입니까? 적의 위험도는 몇 차례의 교전으로 충분히 확인됐을 뿐만 아니라, 적들의 회합이라면 예상보다 수가 많을 가능성도 배제할 수 없습니다.
blank	-	-	하다못해 평요원들을 데려갈 수도 없다. 촉박한 일정 탓에, 부대를 인솔하면서 이동하면 도저히 시간에 맞출 수 없다.
bianca	-	비앙카	에이, 언니도 참. 제국의 심장과도 같은 황제 폐하가 있는데! 요즘처럼 흉흉한 시국에 우리가 그분의 곁을 한꺼번에 비울 순 없잖아?
noel	-	노엘	……아니, 국장님께 똑같이 말했지만 황제 폐하의 뜻이 완고해서 어쩔 수 없다시더군. 세 명이 한계였어.
sepia	-	세피아	하지만 황궁 경비라면 제국군이 충분히…….
blank	-	-	그렇게 말하다가 입을 다물었다.
sepia	-	세피아	(지금까지의 정보만으로 판단하자면 비합리적인 결정이다. 하지만 내가 모르는 이유가 있을지도.)
sepia	-	세피아	(설령 그렇지 않다 해도, 상급자가 결정하기 전에는 아낌없이 조언하되 결정된 후에는 두말없이 따른다. 그것이야말로 충.)
grenev	-	그레네브	그렇다면 제가 갈깝쇼? 후후, 똑같은 일상은 지루해서.
bianca	-	비앙카	레이나 핀토스에게 복수할 기회를 주시면 이 비앙카 프레이, 한 목숨 바쳐서라도 잡아오겠습니다!
noel	-	노엘	한 사람까지는 더 가능한데.
sepia	-	세피아	(이해할 수 없는 작전에 선뜻 나서기는 망설여지는데…….)
blank	-	-	정 없으면 자신이 나서야겠다고 생각하던 차에, 가겠다는 사람이 나타났다.
darkenir	-	달케니르	어쩔 수 없지. 안 그래도 위험한 임무인데 저 바보 둘이서 같이 간다고 생각하니 가망이 없어 보이는군. 지략가인 본인이 필요하지 않겠나.
bianca	-	비앙카	뭐얏?!
grenev	-	그레네브	잘난 척에 일일이 낚여서 파닥대지 마.
blank	-	-	노엘은 탁자를 가볍게 두드려 주의를 돌리며 결론을 내렸다.
noel	-	노엘	그러면 그레네브, 비앙카, 그리고 달케니르가 가도록 하지. 나머지는 내일도 지금까지와 동일한 일정을 수행한다.
arcadia	-	아르카디아	알겠습니다.
noel	-	노엘	아, 그리고 소식 하나가 더 있었지. 중요한 건 아니지만.
noel	-	노엘	상부에서는 아론 핀토스라는 정보원이 있는 상황에서 비협조적인 인물을 살려둘 필요가 없어졌다고 판단한 모양이야.
noel	-	노엘	내일, 모나폴리 중앙 광장에서 카샤스티 러브레이스를 공개 처형한다.

*	Battle	11
